topic,gamma,terms,FREX,LIFT,SCORE,prob,max_DOI,title,abstract,label
11,0.024088409,"market, price, real estate, property, sale, bubble, reit, markets, buyer, seller","bubble, reit, real estate, market, reits, price, seller, buyer, sale, segmentation","hotel, reit, bubble, reits, segmentation, investment trust, seller, mainland, real estate, buyer","hotel, market, price, real estate, reit, property, bubble, reits, sale, seller","market, price, real estate, property, sale, bubble, reit, markets, buyer, seller",10.1007/BF01097024,"Price concessions, time on the market, and the actual sale price of homes","This article examines the relationships between listing price concessions, time on the market, and the actual sale price of homes. The principal hypothesis that significant listing price concessions, usually the result of overpricing, can lead to real discounts on the final sale price is proven by our empirical results. We also found that the longer the time on the market, the higher the sale price, ceteris paribus. This finding is consistent with the theory that the longer a property remains on the market, the higher the probability is that a relatively superior selling price can be realized.  1993 Kluwer Academic Publishers.",Real Estate/Bubble
12,0.017102435,"risk, risk management, risk aversion, risk measure, capital, averse, solvency, reinsurance, shifting, risks","risk, averse, reinsurance, risk measure, shifting, disaster, risk management, risks, risk aversion, solvency","reinsurer, reinsurance, averse, measure of risk, risk, shifting, disaster, total risk, appetite, risks","reinsurer, risk, risk management, risk measure, reinsurance, risk aversion, averse, solvency, disaster, shifting","risk, risk management, risk aversion, risk measure, capital, averse, solvency, reinsurance, shifting, risks",10.2307/2678105,Increase in risk and weaker marginal-payoff-weighted risk dominance,"This study investigates the comparative statics of an increase in risk for all risk-averse individuals with positive prudence. By extending the concept of risk dominance defined by Gollier (1995), this study provides the necessary and sufficient conditions-termed the weaker marginal-payoff-weighted risk dominance - of unambiguous comparative statics for all riskaverse individuals with positive prudence. The article further applies the concept of weaker marginal-payoff-weighted risk dominance to examine the relationship between an increase in risk and the demand for proportional insurance and to demonstrate the difference between Gollier's condition of risk dominance and weaker marginal-payoff-weighted risk dominance.",Risk Management
13,0.013845583,"leverage, asset, capital structure, bankruptcy, firm, off, adjustment, theory, financial distress, debt","off, leverage, bankruptcy, capital structure, liquidation, financial distress, chapter, spin, restructuring, parent","spin, chapter, off, reorganization, offs, optimal capital structure, bankruptcy, liquidation, capital structure decision, leverage","spin, leverage, capital structure, bankruptcy, off, asset, financial distress, firm, debt, liquidation","leverage, asset, capital structure, bankruptcy, firm, off, adjustment, theory, financial distress, debt",10.1086/379860,Capital structure in corporate spin-offs,"In a spin-off, the parent divides the assets of the firm and chooses the capital structure for the new, stand-alone entity. I therefore use this sample to investigate how firms determine their capital structure. I find that the subsidiary has a leverage ratio lower than the parent's but similar to that of a comparable nonspinoff firm. Growth opportunities are the primary determinant of the subsidiary's leverage. Profitability has no impact on leverage choice. These results support the predictions of the tradeoff theory of capital structure and provide insight into why previous studies find a negative relation between leverage and profitability.",Capital Structure
14,0.014754721,"company, announcement, management, program, abnormal return, performance, employee, repurchase, term, private equity","company, program, employee, buyout, share price, private equity, abnormal return, operating performance, repurchase, alliance","esops, alliance, buyback, lbo, cars, buyout, alliances, breach, company, lbos","esops, company, announcement, employee, repurchase, abnormal return, program, plan, private equity, buyout","company, announcement, management, program, abnormal return, performance, employee, repurchase, term, private equity",10.1016/s0927-538x(01)00027-0,Causes and effects of employee stock option plans: Evidence from Singapore,"This study highlights the determinants for the adoption of employee stock option plans (ESOPs) in Singapore and measures the impact of ESOP announcements on the shareholder wealth of adopting companies. We find that ESOP value is positively associated with a firm's growth opportunities but negatively related to interest coverage. Although larger firms are more likely to adopt ESOPs relative to smaller ones, among those that use ESOPs, the larger firms tend to use less ESOPs than the smaller ones. A further investigation of the market response to the adoption of ESOPs shows that the stock price reacts positively to such announcements, suggesting that investors view ESOPs favorably. The evidence demonstrates that ESOPs tend to align managerial with shareholder interests and contribute to the improvement of company performance.  2001 Elsevier Science B.V.",Corporate Announcement
15,0.030145903,"time, ratio, model, variable, component, horizon, sample, predictability, variation, estimate","horizon, predictability, ratio, predictor, asset pricing model, capm, equity premium, excess return, predictive power, variable","cape, predictive regression, equity premium, dividend growth, predictability, icapm, long horizon, horizon, predictor, equity risk premium","cape, predictability, ratio, horizon, capm, asset pricing model, forecast, consumption, predictor, excess return","time, ratio, model, variable, component, horizon, sample, predictability, variation, estimate",10.1093/rfs/hhp063,Out-of-sample equity premium prediction: Combination forecasts and links to the real economy,"Welch and Goyal (2008) find that numerous economic variables with in-sample predictive ability for the equity premium fail to deliver consistent out-of-sample forecasting gains relative to the historical average. Arguing that model uncertainty and instability seriously impair the forecasting ability of individual predictive regression models, we recommend combining individual forecasts. Combining delivers statistically and economically significant out-of-sample gains relative to the historical average consistently over time. We provide two empirical explanations for the benefits of forecast combination: (i) combining forecasts incorporates information from numerous economic variables while substantially reducing forecast volatility; (ii) combination forecasts are linked to the real economy.",Return Predictability
16,0.015668362,"issue, ipo, security, ipos, issuer, underpricing, reputation, underwriter, initial public offering, offering","underpricing, ipo, seo, underwriter, ipos, offering, initial public offering, seos, issuer, aftermarket","shelf, seo, seasoned equity, bookbuilding, underpricing, seos, aftermarket, underwriter, seasoned equity offering, initial return","shelf, ipo, ipos, underwriter, underpricing, issuer, initial public offering, offering, seo, issue","issue, ipo, security, ipos, issuer, underpricing, reputation, underwriter, initial public offering, offering",10.1016/j.pacfin.2021.101649,The choice of equity financing: Floating-priced warrants versus SEOs,"A floating-priced warrant (FPW) is an American warrant with a resettable exercise price at a discount from the market price. FPWs are frequently issued by Japanese firms as an alternative equity financing method to seasoned equity offerings (SEOs). This study reveals what kind of firms prefer to issue FPWs rather than SEOs and why. The results reveal that issuers of FPWs are poor performers and have higher levels of information asymmetry compared to issuers of SEOs. Such firms will face higher flotation costs when issuing common stocks directly. However, the flotation costs of selling equity via FPWs are relatively fixed and irrelevant to the issuer's firm characteristics. Although the average flotation cost of FPWs is higher than that of SEOs, issuers of FPWs would face an even higher flotation cost had they conducted SEOs instead. The result supports the flotation cost minimization hypothesis as a motive for issuing FPWs.  2021 Elsevier B.V.",IPO
17,0.040075299,"liquidity, trading, trade, trader, order, volume, exchange, market, bid, spread","ask spread, trader, trading, limit order, order flow, nyse, dealer, execution, quote, market maker","halt, hfts, limit order, hft, trade size, market quality, commonality in liquidity, market order, market maker, tick size","halt, trading, trader, liquidity, trade, ask spread, bid, volume, quote, limit order","liquidity, trading, trade, trader, order, volume, exchange, market, bid, spread",10.1016/S0304-405X(99)00061-6,"Eighths, sixteenths, and market depth: Changes in tick size and liquidity provision on the NYSE","Using limit order data provided by the NYSE, we investigate the impact of reducing the minimum tick size on the liquidity of the market. While both spreads and depths (quoted and on the limit order book) declined after the NYSE's change from eighths to sixteenths, depth declined throughout the entire limit order book as well. The combined effect of smaller spreads and reduced cumulative limit order book depth has made liquidity demanders trading small orders better off; however, traders who submitted larger orders in lower volume stocks did not benefit, especially if those stocks were low priced.  2000 Elsevier Science B.V.",Trading/Liquidity
18,0.028101202,"firm, effect, innovation, evidence, activity, result, csr, increase, finding, labor","csr, innovation, trade credit, crash risk, supplier, patent, firm, labor, corporate social responsibility, product market","unionization, corporate social responsibility, csr, patent, crash risk, corporate innovation, product market, trade credit, product market competition, tech","unionization, firm, csr, innovation, trade credit, crash risk, patent, labor, supplier, corporate social responsibility","firm, effect, innovation, evidence, activity, result, csr, increase, finding, labor",10.1017/S0022109017000540,What Affects Innovation More: Policy or Policy Uncertainty?,"Motivated by a theoretical model, we examine for 43 countries whether it is policy or policy uncertainty that affects technological innovation more. Innovation activities, measured by patent-based proxies, are not, on average, affected by which policy is in place. Innovation activities, however, drop significantly during times of policy uncertainty measured by national elections. The drop is greater for more influential innovations (citations in the right tail, exploratory rather than exploitative innovations) and for innovation-intensive industries. We use close presidential elections and ethnic fractionalization to address endogeneity concerns. We uncover the mechanism underlying the main result by showing that the number of patenting inventors decreases with policy uncertainty. Political compromise, we conclude, encourages innovation.  Copyright Michael G. Foster School of Business, University of Washington 2017.",Corporate Social Responsability
19,0.011258376,"government, author, financial, study, behalf, right, authors, society, state, enterprise","behalf, government, society, internet, authors, financial, permission, enterprise, soes, corruption","visit, appendix, permission, behalf, internet, web, soes, society, editor, authors","visit, government, behalf, society, financial, author, internet, authors, corruption, enterprise","government, author, financial, study, behalf, right, authors, society, state, enterprise",10.1016/j.pacfin.2018.05.003,Political connections and firm performance: Evidence from government officials' site visits,"This study uses government officials' corporate site visits as a measurement of political connection and examines how political connection affects firm performance. Using a novel dataset on government officials' site visits from 2004 to 2014, we find that firm performance increases following corporate site visits by government officials. This study finds that firms obtain more new investment projects and bank loans, improve corporate governance, and decrease information asymmetry as well. Government officials' site visits are also associated with positive abnormal stock returns, indicating that investors interpret government officials' site visits as a signal of government endorsement and support. Using China's recent anti-corruption campaign as an exogenous shock, we find that political connections are more valuable in the absence of political corruption.  2018 Elsevier B.V.",Political Relationship/Corruption
20,0.013050126,"efficiency, technology, production, productivity, cost, stage, scale, revenue, inefficiency, performance","efficiency, technology, inefficiency, revenue, productivity, production, scale, stage, credit union, scope","credit union, data envelopment analysis, dea, cost efficiency, profit efficiency, bank efficiency, inefficiency, efficiency, productivity growth, scope","credit union, efficiency, productivity, technology, production, inefficiency, revenue, scale, cost efficiency, consolidation","efficiency, technology, production, productivity, cost, stage, scale, revenue, inefficiency, performance",10.1016/j.jbankfin.2003.10.014,Productivity change in European banking: A comparison of parametric and non-parametric approaches,"This paper compares parametric and non-parametric estimates of productivity change in European banking between 1994 and 2000. Productivity change has also been further decomposed into technological change, or change in best practice, and efficiency change. Both the parametric and non-parametric approaches consistently identify those systems that have benefited most (and least) from productivity change during the 1990s. The results also suggest that (where found) productivity growth has mainly been brought about by improvements in technological change and there does not appear to have been 'catch-up' by non-best-practice institutions. Competing methodologies sometimes identify conflicting findings for the sources of productivity for individual years. However, the two approaches generally do not yield markedly different results in terms of identifying the components of productivity growth in European banking during the 1990s.  2003 Elsevier B.V. All rights reserved.",Banking Efficiency
21,0.016706667,"shareholder, ownership, control, insider, manager, class, ownership structure, management, owner, insider trading","insider, voting, ownership, vote, proposal, control, insider trade, blockholder, shareholder, insider trading","pill, voting, vote, voting rights, activism, activist, insider, insider trade, large shareholder, insiders","pill, shareholder, ownership, insider, control, voting, insider trading, ownership structure, blockholder, control shareholder","shareholder, ownership, control, insider, manager, class, ownership structure, management, owner, insider trading",10.1111/j.1540-6261.2011.01682.x,Nonbinding Voting for Shareholder Proposals,"Shareholder proposals are a common form of shareholder activism. Voting for shareholder proposals, however, is nonbinding since management has the authority to reject the proposal even if it received majority support from shareholders. We analyze whether nonbinding voting is an effective mechanism for conveying shareholder expectations. We show that, unlike binding voting, nonbinding voting generally fails to convey shareholder views when manager and shareholder interests are not aligned. Surprisingly, the presence of an activist investor who can discipline the manager may enhance the advisory role of nonbinding voting only if conflicts of interest between shareholders and the activist are substantial.  2011 the American Finance Association.",Ownership
22,0.024779305,"country, institution, world, level, cross, region, determinant, difference, growth, factor","institution, islamic, economic growth, culture, country, financial development, region, trust, world, cross country","mfis, microfinance, mena, stock market development, individualism, globalization, host, culture, financial development, economic development","mfis, country, institution, islamic, financial development, region, economic growth, culture, world, trust","country, institution, world, level, cross, region, determinant, difference, growth, factor",10.1016/j.frl.2019.101310,Trust and financial inclusion: A cross-country study,"This study examines the role of social trust in financial inclusion around the world, using financial inclusion measures from Global Findex database and measure of trust from the World Values Survey. After controlling for individual characteristics, and country level differences in institutions and financial markets, social trust remains a significant and positive determinant for various aspects of financial inclusion. Trust is further found to supplement weak formal institutions and low educational levels. The role of limited trust is also examined in the study.  2019 Elsevier Inc.",Emerging Country
23,0.011511027,"equity, share, valuation, book, equity market, market value, percent, size, listing, equity return","equity, market value, book, listing, share, share market, adrs, out, book value, market ratio","carve, share market, depositary, equity, adrs, receipts, adr, book value, market value, market ratio","carve, equity, share, book, valuation, listing, market value, equity market, percent, adrs","equity, share, valuation, book, equity market, market value, percent, size, listing, equity return",10.1016/j.intfin.2018.11.014,ADR valuation and listing of foreign firms in U.S. Equity markets,We examine the decision to list in the U.S. markets by foreign firms through American Depository Receipts (ADRs). There is a high positive correlation between the valuation of existing ADRs and the number of new ADR listings next year. ADR listing is more likely when existing ADRs are valued higher. The subsequent operating and stock performance of ADR firms listed in hot years is significantly worse than those of ADR firms listed in cold years. These results are consistent with the hypothesis that market timing is an important motivation for foreign firms to list in the U.S. equity markets.  2018 Elsevier B.V.,Firm Valuation
24,0.015577686,"cost, demand, product, payment, money, service, consumer, transaction, retail, reserve","product, demand, retail, service, settlement, payment, elasticity, consumer, money, usage","debit, card, retailer, brand, settlement, retail, check, service, product, elasticity","debit, demand, payment, cost, product, consumer, service, money, retail, settlement","cost, demand, product, payment, money, service, consumer, transaction, retail, reserve",10.1016/j.jbankfin.2009.09.008,Incentives at the counter: An empirical analysis of surcharging card payments and payment behaviour in the Netherlands,"In card payment systems, no-surcharge rules prohibit merchants from charging consumers extra for card payments. However, such rules are prohibited in the Netherlands. Dutch retailers are allowed to surcharge consumers for debit card use. This setting permits an empirical analysis of the impact of surcharging card payments on merchant acceptance and consumer payment choice. Based on consumer and retailer survey data, our analysis shows that surcharging steers consumers away from using debit cards towards cash. Half of the observed difference in debit card payment shares across retailers can be explained by this surcharge effect. Removing debit card surcharges may induce cost savings of more than EUR 50 million in the long run.  2009 Elsevier B.V.",Retail Payment System
25,0.01346962,"bond, spread, yield, cds, bond market, corporate bond, call, credit spread, credit default swap, government bond","bond, cds, corporate bond, bond market, yield spread, bond return, credit default swap, grade, credit spread, bond yield","coco, bond spread, corporate bond, junk, corporate bond market, cds, bond, bonds, yield spread, cds spread","coco, bond, spread, cds, corporate bond, yield, bond market, credit default swap, credit spread, bond return","bond, spread, yield, cds, bond market, corporate bond, call, credit spread, credit default swap, government bond",10.1016/j.pacfin.2019.06.006,Measuring the liquidity impact on catastrophe bond spreads,"This study measures liquidity in the catastrophe (CAT) bond market and the liquidity premium embedded in CAT bond spreads. The empirical results show that time to maturity, yield volatility, and yield dispersion from the primary market are the three most effective liquidity proxies. Given these three proxies, the average estimated liquidity premium in the CAT bond market is 67.57bps, accounting for only 9.42% of the average CAT bond spread (717.37bps) in the secondary market during the period 2002-2016. The average CAT bond liquidity premium is higher than the corporate bond liquidity premium of a similar risk class by about 35bps during the pre-crisis period. The more significant part of the high-yield spreads, 90.58%, is attributed to other risk natures of CAT bonds. Lastly, the liquidity premium increases dramatically after occurrences of severe natural catastrophes as well as during the 2008 financial crisis.  2019",Bond Market
26,0.031476151,"return, effect, period, day, stock return, pattern, month, evidence, result, year","day, week, january, month, pattern, lag, december, return, seasonality, feedback","weekend, monday, holiday, week, friday, seasonality, calendar, january, december, tom","weekend, return, day, stock return, effect, month, january, week, autocorrelation, seasonality","return, effect, period, day, stock return, pattern, month, evidence, result, year",10.1111/j.1540-6288.1999.tb00474.x,"Day-of-the-week autocorrelations, cross-autocorrelations, and the weekend phenomenon","This study examines whether autocorrelations or cross-autocorrelations are more closely associated with the weekend phenomenon. Our results show a significant day-of-the-week pattern in autocorrelations associated with the weekend phenomenon. However, we find no marginal influence of a day-of-the-week pattern in cross-autocorrelations on the weekend phenomenon.  1999 Blackwell Publishing Ltd.",Market Anomaly
27,0.011497457,"exposure, hedge, commodity, hedging, bitcoin, energy, gold, cryptocurrency, market risk, ambiguity","bitcoin, cryptocurrency, ambiguity, energy, carbon, tail risk, gold, hedge, climate, commodity","carbon, emission, climate, ambiguity, bitcoin, cryptocurrency, cryptocurrency market, downside, safe haven, tail risk","carbon, commodity, hedge, bitcoin, hedging, exposure, cryptocurrency, energy, gold, tail risk","exposure, hedge, commodity, hedging, bitcoin, energy, gold, cryptocurrency, market risk, ambiguity",10.1016/j.frl.2019.08.001,Diamonds versus precious metals: What gleams most against USD exchange rates?,"Historically, commodity market, particularly the metal market has been used as a hedge for stock market and currencies during time of distress. In this paper, we shed light on a new alternative asset and examine the hedging and safe haven ability of diamonds and five precious metals that is, gold, silver, palladium, platinum and rhodium by using copula process. Then, we compare the performance of diamond versus metals in terms of hedging and safe haven against USD depreciation. Our empirical results show that gold, silver, palladium and platinum outperform diamonds and rhodium in term of hedging against USD movement. Our finding for safe haven study reveals that both precious metals and diamonds serve as a weak safe haven.  2019 Elsevier Inc.",Hedging
28,0.023576373,"currency, ltd, exchange rate, dollar, paper, country, intervention, trade, right, effect","currency, exchange rate, dollar, capital flow, emu, ltd, foreign currency, current account, export, exchange rate volatility","dollarization, renminbi, currency crisis, capital account, devaluation, exchange rate volatility, franc, ems, currency, capital control","dollarization, exchange rate, currency, ltd, dollar, current account, intervention, real exchange rate, country, foreign exchange","currency, ltd, exchange rate, dollar, paper, country, intervention, trade, right, effect",10.1016/j.jimonfin.2019.102104,Currency composition of foreign exchange reserves,"This paper analyses the factors that govern the choice of the currency composition of official foreign exchange reserves. First, we introduce a new panel dataset on the key currencies in foreign exchange reserves of about 60 economies in the 19992017 period. Second, we show that the currency composition of reserves relates strongly to the co-movement of the domestic currency with key currencies and the currency invoicing of trade. These factors represent attributes of the dollar or the euro rather than of the United States or the euro area. They exert about equal effects on the currency composition of foreign exchange reserves. We demonstrate that these findings are robust to a host of other possible factors.  2019 Elsevier Ltd",Currency
